Code,Local authority,Band A,Band B,Band C,Band D,Band E,Band F,Band G,Band H
E09000001,City of London,811.9266666666667,947.247777777778,1082.568888888889,1217.89,1488.5322222222223,1759.1744444444446,2029.8166666666668,2435.78
E09000002,Barking & Dagenham,1335.1666666666667,1557.6944444444443,1780.2222222222222,2002.75,2447.8055555555557,2892.8611111111113,3337.9166666666665,4005.5
E09000003,Barnet,1295.4933333333333,1511.408888888889,1727.3244444444445,1943.24,2375.071111111111,2806.902222222222,3238.733333333333,3886.48
E09000004,Bexley,1436.6933333333334,1676.142222222222,1915.591111111111,2155.04,2633.9377777777777,3112.8355555555554,3591.733333333333,4310.08
E09000005,Brent,1357.3666666666666,1583.5944444444444,1809.822222222222,2036.05,2488.5055555555555,2940.9611111111108,3393.4166666666665,4072.1000000000004
E09000006,Bromley,1299.8066666666666,1516.4411111111112,1733.0755555555556,1949.71,2382.978888888889,2816.2477777777776,3249.516666666667,3899.42
E09000007,Camden,1340.58,1564.01,1787.4399999999998,2010.87,2457.73,2904.5899999999997,3351.45,4021.74
E09000008,Croydon,1577.9399999999998,1840.9299999999998,2103.92,2366.91,2892.89,3418.87,3944.8499999999995,4733.82
E09000009,Ealing,1298.8933333333332,1515.3755555555554,1731.8577777777778,1948.34,2381.304444444444,2814.268888888889,3247.233333333333,3896.6799999999994
E09000010,Enfield,1376.9866666666667,1606.4844444444445,1835.9822222222222,2065.48,2524.4755555555553,2983.4711111111114,3442.4666666666667,4130.96
E09000011,Greenwich,1280.3533333333335,1493.7455555555555,1707.1377777777777,1920.53,2347.3144444444442,2774.0988888888887,3200.883333333333,3841.06
E09000012,Hackney,1251.58,1460.1766666666667,1668.7733333333333,1877.37,2294.5633333333335,2711.756666666666,3128.95,3754.74
E09000013,Hammersmith & Fulham,924.5133333333332,1078.5988888888887,1232.6844444444444,1386.77,1694.941111111111,2003.112222222222,2311.2833333333333,2773.54
E09000014,Haringey,1404.88,1639.0266666666669,1873.1733333333334,2107.32,2575.6133333333332,3043.906666666667,3512.2000000000003,4214.64
E09000015,Harrow,1524.2133333333336,1778.248888888889,2032.2844444444445,2286.32,2794.391111111111,3302.4622222222224,3810.5333333333338,4572.64
E09000016,Havering,1471.9466666666667,1717.2711111111112,1962.5955555555556,2207.92,2698.568888888889,3189.217777777778,3679.866666666667,4415.84
E09000017,Hillingdon,1242.6066666666668,1449.707777777778,1656.808888888889,1863.91,2278.1122222222225,2692.3144444444447,3106.516666666667,3727.8200000000006
E09000018,Hounslow,1327.34,1548.5633333333333,1769.7866666666666,1991.01,2433.456666666667,2875.9033333333336,3318.3500000000004,3982.02
E09000019,Islington,1280.54,1493.9633333333334,1707.3866666666665,1920.81,2347.6566666666668,2774.503333333333,3201.35,3841.6200000000003
E09000020,Kensington & Chelsea,1019.8999999999999,1189.8833333333332,1359.8666666666666,1529.85,1869.8166666666666,2209.7833333333333,2549.75,3059.7
E09000021,Kingston-upon-Thames,1583.5666666666666,1847.4944444444445,2111.422222222222,2375.35,2903.2055555555553,3431.061111111111,3958.9166666666665,4750.7
E09000022,Lambeth,1243.6066666666668,1450.8744444444446,1658.1422222222222,1865.41,2279.945555555556,2694.481111111111,3109.016666666667,3730.8200000000006
E09000023,Lewisham,1358.6533333333334,1585.0955555555556,1811.5377777777778,2037.98,2490.8644444444444,2943.7488888888893,3396.633333333333,4075.96
E09000024,Merton,1332.8533333333335,1554.9955555555555,1777.1377777777777,1999.28,2443.5644444444442,2887.8488888888887,3332.133333333333,3998.56
E09000025,Newham,1149.56,1341.1533333333332,1532.7466666666667,1724.34,2107.5266666666666,2490.713333333333,2873.8999999999996,3448.68
E09000026,Redbridge,1393.2466666666667,1625.4544444444446,1857.6622222222222,2089.87,2554.2855555555557,3018.701111111111,3483.116666666667,4179.74
E09000027,Richmond-upon-Thames,1509.1066666666666,1760.6244444444444,2012.142222222222,2263.66,2766.6955555555555,3269.7311111111107,3772.766666666666,4527.32
E09000028,Southwark,1195.3200000000002,1394.54,1593.76,1792.98,2191.42,2589.86,2988.3,3585.96
E09000029,Sutton,1444.12,1684.8066666666664,1925.493333333333,2166.18,2647.5533333333333,3128.9266666666663,3610.2999999999997,4332.36
E09000030,Tower Hamlets,1117.0066666666667,1303.1744444444444,1489.3422222222223,1675.51,2047.8455555555556,2420.181111111111,2792.516666666667,3351.02
E09000031,Waltham Forest,1449.1466666666665,1690.671111111111,1932.1955555555553,2173.72,2656.768888888889,3139.8177777777773,3622.8666666666663,4347.44
E09000032,Wandsworth,645.8399999999999,753.48,861.12,968.76,1184.04,1399.32,1614.6,1937.52
E09000033,Westminster,650.0133333333333,758.3488888888888,866.6844444444445,975.02,1191.691111111111,1408.3622222222223,1625.0333333333333,1950.04
