Borough,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
Barking and Dagenham,Room, 10 , 646 , .. , 726 , .. 
Barking and Dagenham,Studio, - , .. , .. , .. , .. 
Barking and Dagenham,One Bedroom, 200 ," 1,341 "," 1,250 "," 1,350 "," 1,480 "
Barking and Dagenham,Two Bedrooms, 390 ," 1,660 "," 1,500 "," 1,700 "," 1,836 "
Barking and Dagenham,Three Bedrooms, 190 ," 1,954 "," 1,750 "," 1,965 "," 2,100 "
Barking and Dagenham,Four or More Bedrooms, 20 ," 2,409 "," 2,300 "," 2,400 "," 2,500 "
Barnet,Room, 10 , 747 , 701 , 726 , 796 
Barnet,Studio, 110 ," 1,105 "," 1,000 "," 1,100 "," 1,200 "
Barnet,One Bedroom, 670 ," 1,472 "," 1,300 "," 1,450 "," 1,600 "
Barnet,Two Bedrooms," 1,150 "," 1,802 "," 1,600 "," 1,750 "," 1,975 "
Barnet,Three Bedrooms, 430 ," 2,448 "," 2,100 "," 2,400 "," 2,700 "
Barnet,Four or More Bedrooms, 160 ," 3,398 "," 2,800 "," 3,150 "," 3,775 "
Bexley,Room, 20 , 833 , 738 , 800 ," 1,000 "
Bexley,Studio, 10 ," 1,081 ", .. ," 1,000 ", .. 
Bexley,One Bedroom, 180 ," 1,248 "," 1,100 "," 1,250 "," 1,375 "
Bexley,Two Bedrooms, 300 ," 1,554 "," 1,400 "," 1,600 "," 1,700 "
Bexley,Three Bedrooms, 220 ," 1,924 "," 1,750 "," 1,950 "," 2,100 "
Bexley,Four or More Bedrooms, 50 ," 2,315 "," 2,050 "," 2,300 "," 2,600 "
Brent,Room, 80 , 796 , 708 , 776 , 878 
Brent,Studio, 110 ," 1,152 "," 1,000 "," 1,160 "," 1,280 "
Brent,One Bedroom, 440 ," 1,646 "," 1,450 "," 1,650 "," 1,850 "
Brent,Two Bedrooms, 660 ," 2,036 "," 1,800 "," 2,000 "," 2,250 "
Brent,Three Bedrooms, 290 ," 2,480 "," 2,100 "," 2,400 "," 2,700 "
Brent,Four or More Bedrooms, 120 ," 3,601 "," 2,515 "," 3,200 "," 4,213 "
Bromley,Room, 20 , 706 , 676 , 718 , 801 
Bromley,Studio, 40 , 993 , 925 , 995 ," 1,050 "
Bromley,One Bedroom, 790 ," 1,292 "," 1,181 "," 1,300 "," 1,400 "
Bromley,Two Bedrooms," 1,130 "," 1,620 "," 1,450 "," 1,600 "," 1,750 "
